Name,Year Founded,Industry,Size Range,Country,Current Employee Estimate
"generations real estate holdings, llc",2010.0,real estate,1 - 10,united states,0
metrix is,2014.0,information technology and services,1 - 10,united states,1
charleston family ymca,,"health, wellness and fitness",1 - 10,united states,1
smith llc | ingenuity in law,2008.0,law practice,1 - 10,united states,2
"miguel ángel pimentel & asociados, s.r.l.",1972.0,management consulting,1 - 10,dominican republic,1
virtuebuild,2013.0,internet,1 - 10,,0
safelogic,2012.0,computer software,1 - 10,united states,5
sheboygan chevrolet buick gmc cadillac,,automotive,11 - 50,,16
proseg- assessoria e treinamentos em segurança do trabalho,2012.0,professional training & coaching,11 - 50,,4
glen abbey academy,,sports,1 - 10,united states,0
future personnel,2000.0,staffing and recruiting,1 - 10,united kingdom,2
aventec ltd. birmingham,,information technology and services,1 - 10,,1
frankia virtual,,retail,11 - 50,,9
perfect restorations,,construction,1 - 10,united states,0
guide valve limited,1981.0,oil & energy,11 - 50,canada,13
gd massage,2010.0,"health, wellness and fitness",1 - 10,france,1
harveys restaurant,,food & beverages,51 - 200,united states,67
"happy jack software, inc.",,computer software,1 - 10,united states,1
stichting eusebius arnhem,2013.0,non-profit organization management,11 - 50,netherlands,5
kosmos kg,,events services,1 - 10,germany,0
thewebsiteshop,2014.0,design,1 - 10,singapore,1
splash fashions india pvt. ltd.,2012.0,apparel & fashion,51 - 200,india,44
global b2b finance/credit conference & expo,2014.0,events services,1 - 10,united states,2
revista mujer del cobre de ansco codelco chile,,public relations and communications,11 - 50,,16
virtual assistant business solutions,2007.0,consumer services,1 - 10,united states,1
"ngmetal, soluções industriais.com",,mechanical or industrial engineering,1 - 10,,0
sarl. 123compta,2014.0,accounting,1 - 10,france,1
daydreamer la,2011.0,apparel & fashion,1 - 10,united states,5
spice costantino architects,,architecture & planning,1 - 10,united states,0
rush video,1993.0,media production,1 - 10,brazil,0
234legal,,legal services,1 - 10,,1
grupo aporta,,human resources,1 - 10,,0
pharos university in alexandria,,education management,1001 - 5000,egypt,351
carefree smiles,,"health, wellness and fitness",1 - 10,united states,1
"the help button, llc",,information technology and services,1 - 10,united states,2
shift swap,2012.0,human resources,1 - 10,united kingdom,0
streaming media services ltd,1998.0,information technology and services,1 - 10,united kingdom,0
pc land canada,2014.0,information technology and services,1 - 10,canada,1
gnetwork360,2005.0,marketing and advertising,11 - 50,argentina,15
finesti,1995.0,financial services,1 - 10,,1
"forensic consulting group, llc",2012.0,insurance,1 - 10,united states,2
"associated construction & engineering, inc.",,construction,1 - 10,united states,3
"line seiki co., ltd.",1949.0,electrical/electronic manufacturing,51 - 200,japan,17
male models netherlands,2014.0,entertainment,11 - 50,netherlands,11
kibodhi,,design,1 - 10,,1
beng,,design,11 - 50,,5
startlabs - design e sistemas,2016.0,design,1 - 10,brazil,2
colop românia srl,1998.0,retail,11 - 50,austria,4
di.be. srl,,food & beverages,1 - 10,,1
riverside county flood control and water conservation district,,civil engineering,201 - 500,,73
higham ferrers junior school,,education management,1 - 10,united kingdom,1
"instalaciones frigolan, s.l.",1994.0,mechanical or industrial engineering,11 - 50,spain,6
stichting ijsselmonde-oost,1967.0,hospital & health care,1 - 10,netherlands,3
atom age industries llc,,entertainment,1 - 10,,2
event decor,2012.0,events services,1 - 10,,1
sterling payphones inc.,,information technology and services,1 - 10,united states,0
vidiemme consulting,2004.0,information technology and services,51 - 200,italy,53
media team omd,,marketing and advertising,1 - 10,germany,0
first contact design inc,,design,1 - 10,united states,0
octus solution & services,,human resources,1 - 10,,0
compass tutoring,2012.0,education management,1 - 10,united states,1
isurf iyoga inc.,2013.0,marketing and advertising,1 - 10,canada,0
the ryan law group,,law practice,1 - 10,united states,1
hometenders of america,2006.0,real estate,1 - 10,united states,2
gärna hjärta,2016.0,"health, wellness and fitness",1 - 10,sweden,2
absolutely beautiful flowers,,retail,1 - 10,australia,1
a440 music group,,entertainment,1 - 10,united states,0
gary maxwell insurance agency,1996.0,insurance,1 - 10,united states,1
rtt digital signage,,computer software,1 - 10,united states,1
"westgate properties, llc",2005.0,real estate,1 - 10,united states,3
abdi - agribusiness development institute,2012.0,professional training & coaching,1 - 10,australia,3
the branding group,,marketing and advertising,1 - 10,,1
resoundlogic,2014.0,music,1 - 10,united states,0
candary digital,1998.0,marketing and advertising,1 - 10,spain,3
leisure tim technology,,information technology and services,1 - 10,united states,0
george hay chartered accountants,1939.0,accounting,51 - 200,united kingdom,26
collaborative design group architecture & interiors,2002.0,design,11 - 50,united states,8
eddie's tickets,1992.0,entertainment,1 - 10,united states,1
delta land surveying,1996.0,oil & energy,1 - 10,united states,0
"platinum international, inc.",,marketing and advertising,1 - 10,united states,3
sqs technologies,,computer software,1 - 10,india,2
hi! tours pvt. india ltd.,1997.0,"leisure, travel & tourism",11 - 50,india,11
xperients – digital agency,2016.0,marketing and advertising,1 - 10,germany,2
leasburg grocery,,consumer services,1 - 10,united states,0
mena college of management,,education management,11 - 50,,5
cbhnp,,hospital & health care,51 - 200,united states,56
conquest funds,2011.0,financial services,1 - 10,united states,2
carlton smith private wealth,2010.0,financial services,1 - 10,united kingdom,1
4ghi,1998.0,computer software,1 - 10,sweden,2
tegeltjeswijsheid.nl,2013.0,entertainment,1 - 10,netherlands,2
hospital farallón,,marketing and advertising,11 - 50,mexico,4
mohtawa saudi inbound and content marketing,2013.0,marketing and advertising,1 - 10,saudi arabia,1
net-trust,2013.0,telecommunications,11 - 50,chile,4
sparkle security,,information technology and services,1 - 10,,2
elite southwest balfour,,retail,1 - 10,united states,1
actin,2001.0,information technology and services,11 - 50,spain,4
partition solutions company - parsol,2013.0,wholesale,1 - 10,,1
sacramento steps forward,,non-profit organization management,11 - 50,united states,9
247staff,,staffing and recruiting,1 - 10,,0
zung fu,,automotive,201 - 500,,117
localized,2016.0,human resources,11 - 50,,4
trails beyond,2013.0,"leisure, travel & tourism",1 - 10,greece,1
"angela wang & co, solicitors",1995.0,legal services,11 - 50,,4
chef dan's southern comfort restaurant,2009.0,food & beverages,1 - 10,united states,0
genxcoders,2008.0,information technology and services,11 - 50,india,6
flixton manor,,hospital & health care,1 - 10,united kingdom,1
oilfield technical consulting ltd,,mechanical or industrial engineering,1 - 10,united kingdom,1
kd bilişim tanıtım ve danışmanlık hizmetleri,,internet,1 - 10,turkey,0
mpm services,,information technology and services,1 - 10,united states,1
weledu group,,electrical/electronic manufacturing,1 - 10,,2
papillon powder manufacturers sdn. bhd.,,medical practice,1 - 10,malaysia,1
houses of light,,real estate,1 - 10,united states,1
shake (poland),2010.0,events services,1 - 10,,0
gənc mühəndislərin i̇nkişafı i̇ctimai birliyi,2008.0,non-profit organization management,11 - 50,,4
loveden computer services ltd.,,computer software,1 - 10,united kingdom,0
piata muncii,2014.0,staffing and recruiting,1 - 10,,2
adynaton partners llp,2016.0,real estate,1 - 10,united kingdom,2
net it - microsoft crm partner,1999.0,information technology and services,51 - 200,belgium,26
hari crm,2017.0,marketing and advertising,1 - 10,,2
mclachlan experiences,,"leisure, travel & tourism",11 - 50,,4
bordentown family dental,,medical practice,1 - 10,united states,1
cummins west inc,,staffing and recruiting,1 - 10,united states,0
ja salesforce consulting,,information technology and services,1 - 10,united states,1
firefly lighting design ltd,2003.0,design,1 - 10,united kingdom,3
indexasia.co. ltd.,2007.0,marketing and advertising,1 - 10,taiwan,1
plink consulting,,human resources,51 - 200,china,23
vanbrugh college,,music,1 - 10,united kingdom,0
twin creeks country club,,food & beverages,11 - 50,united states,6
crystal caterers,2010.0,events services,1 - 10,pakistan,1
studio w agency,2007.0,internet,11 - 50,france,4
chinasoftsolutions,,computer software,1 - 10,,0
burnac corporation,1984.0,hospital & health care,1 - 10,canada,1
start here fm,2014.0,internet,1 - 10,,0
network logistics inc.,1997.0,transportation/trucking/railroad,1 - 10,united states,1
blender studio,2014.0,computer software,1 - 10,new zealand,1
nokia,,computer software,1 - 10,united states,1
concrete paver systems,,construction,1 - 10,united states,0
north shore-lij health plan inc,,hospital & health care,1 - 10,united states,2
mahon marketing,,marketing and advertising,1 - 10,united states,0
the kitchen source,1991.0,design,11 - 50,united states,17
elite group marketing,2012.0,marketing and advertising,1 - 10,united states,0
it experts it kids,2001.0,computer software,1 - 10,greece,2
etmc crockett,,"health, wellness and fitness",1 - 10,united states,2
pruitiandrea.it,,marketing and advertising,1 - 10,italy,2
palmetto scale services,,machinery,1 - 10,united states,0
kienstra concrete,,construction,1 - 10,united states,1
fantozzi hotel & restaurante,1946.0,hospitality,1 - 10,brazil,0
karingana.de,2009.0,internet,1 - 10,,0
gwen grossman lighting design,2010.0,architecture & planning,1 - 10,united states,1
christian spencer leisure limited,,food & beverages,1 - 10,united kingdom,2
chasan group llc,,real estate,1 - 10,united states,1
j reid engineering limited,,mechanical or industrial engineering,1 - 10,united kingdom,2
shree laxmi enterprises pune,,accounting,1 - 10,,1
dialing for dollars,2004.0,marketing and advertising,51 - 200,united states,32
brown university school of professional studies,,education management,51 - 200,united states,34
washington association of realtors,,real estate,1 - 10,united states,0
lifestyles of saratoga,1991.0,retail,11 - 50,united states,6
djool,2017.0,information technology and services,1 - 10,,1
inform architecture,2013.0,architecture & planning,1 - 10,united states,1
residential contractors,,construction,1 - 10,united states,1
online akademie gmbh & co. kg,2008.0,internet,11 - 50,germany,4
brady oilfield services l.p.,,transportation/trucking/railroad,1 - 10,canada,0
relisa consultoria e marketing educacional,2016.0,education management,1 - 10,,0
crédit agricole assurances,2007.0,insurance,1001 - 5000,,1586
hearing solutions northwest,2009.0,hospital & health care,1 - 10,united states,2
inter mutuelles entreprises,,insurance,1 - 10,france,2
jwe corporation,,construction,11 - 50,guadeloupe,10
deep red marketing,,marketing and advertising,1 - 10,,0
pacific property & financing,,real estate,1 - 10,,0
richmond house wealth management limited,,financial services,11 - 50,united kingdom,6
export showroom ltd,2009.0,automotive,1 - 10,united kingdom,0
centre d'enseignement notre-dame des champs,,internet,1 - 10,belgium,2
luphahla holdings (pty) ltd,,information technology and services,1 - 10,,1
combind group contracting company,,marketing and advertising,1 - 10,united kingdom,1
pgl,1991.0,environmental services,201 - 500,canada,111
central roofing south wales ltd,2004.0,construction,1 - 10,united kingdom,4
re:cognition web design,2006.0,design,1 - 10,,0
recaba inversiones turisticas sl,2014.0,hospitality,1 - 10,,3
avalon realty llc,,real estate,1 - 10,united states,2
teletouch communications,1964.0,telecommunications,51 - 200,united states,27
turner brothers furnishings,,hospital & health care,11 - 50,,5
"o.brien garage doors, inc.",,consumer services,1 - 10,,1
virola shoes pvt. ltd. - india,,apparel & fashion,1 - 10,,3
上海翼葵网络技术有限公司(apsoto),,internet,1 - 10,,1
creonic gmbh,2010.0,information technology and services,1 - 10,germany,2
accesspay fleet solutions,2013.0,financial services,1 - 10,australia,2
alex b. inc.,,apparel & fashion,1 - 10,united states,1
springhouse manorcare,,hospital & health care,1 - 10,united states,0
internet reptile,,wholesale,1 - 10,united kingdom,0
four points by sheraton manhattan chelsea,2003.0,hospitality,1 - 10,united states,1
smiles dog training,2017.0,consumer services,1 - 10,united states,2
"prospect education, llc",,education management,51 - 200,united states,63
spikes motor carriers,2006.0,transportation/trucking/railroad,1 - 10,,1
a.t. consulting,2016.0,management consulting,1 - 10,italy,1
coaching by cornerstone,,professional training & coaching,1 - 10,united states,2
health design lab,2016.0,design,1 - 10,united states,1
plm-team gmbh,2006.0,machinery,1 - 10,switzerland,1
caleira,,retail,1 - 10,,1
straccone,2010.0,management consulting,1 - 10,india,2
eurodebt,,financial services,1 - 10,,2
trading nrg,,oil & energy,1 - 10,,2
brainware university,1990.0,education management,11 - 50,india,12
restaurant repair,,machinery,1 - 10,united states,1
bewegungsforum,,sports,1 - 10,,1
bainbridge homes,,real estate,1 - 10,united states,4
smartions ag,2014.0,information technology and services,1 - 10,germany,0
bamboo marketing,,marketing and advertising,1 - 10,united kingdom,0
i can fix it inc,,construction,1 - 10,united states,2
"windsor tennis club, belfast",1901.0,sports,1 - 10,united kingdom,0
hcg multi specialty hospital,,hospital & health care,11 - 50,india,14
svela vastgoedadvies,,real estate,1 - 10,,1
dr media limited,,information technology and services,1 - 10,australia,2
apeducation online,,education management,1 - 10,,2
nex life consultoria,2012.0,management consulting,1 - 10,brazil,0
deschutes county health dept,,hospital & health care,1 - 10,united states,4
"fenghua kerui auto parts co.,ltd.",,automotive,1 - 10,china,1
tierras de gairia,,food & beverages,1 - 10,,2
restaurant & kookstudio nine,2013.0,hospitality,1 - 10,,3
smart support,,information technology and services,11 - 50,,10
"port city young professionals, llc",2009.0,marketing and advertising,1 - 10,united states,1
pyrameed web agency,2006.0,marketing and advertising,1 - 10,switzerland,0
brian j lee insurance agency,,insurance,1 - 10,united states,1
blue&cream,2004.0,retail,1 - 10,united states,1
empresta,,financial services,1 - 10,brazil,1
easter seals ontario,1922.0,non-profit organization management,51 - 200,canada,45
datarescue limited,2002.0,information technology and services,1 - 10,ireland,3
boardwise (edinburgh) limited,,information technology and services,1 - 10,united kingdom,0
"stats unlimited, inc.",2007.0,accounting,1 - 10,united states,3
"encap seal, created by encap systems",,construction,1 - 10,,0
summer village at the pond,,real estate,1 - 10,united states,4
"tallwood legal, llc",2005.0,staffing and recruiting,1 - 10,united states,1
canteen service company,1916.0,food & beverages,51 - 200,united states,81
viúva monteiro & irmão lda,,"leisure, travel & tourism",1 - 10,,1
the myers group,1993.0,hospital & health care,51 - 200,united states,33
brandkey digital,2009.0,marketing and advertising,1 - 10,portugal,2
primer clic multimedios,2007.0,design,1 - 10,mexico,0
anatomic,,retail,1 - 10,,2
smps dallas,1982.0,marketing and advertising,1 - 10,united states,4
one dish,,computer software,1 - 10,united states,1
springstrike inc.,,events services,1 - 10,,1
v&s entertainment,1991.0,media production,1 - 10,united kingdom,0
not a clue adventures,2008.0,"leisure, travel & tourism",11 - 50,united states,7
farmington school district,,information technology and services,201 - 500,united states,127
bw container systems,,machinery,201 - 500,united states,142
idesign.nl  innovatie & ontwerp,1979.0,design,1 - 10,,2
meridian financial group,,financial services,1 - 10,united states,5
salt+light photography,2011.0,photography,1 - 10,,1
"finance society, university of reading",2012.0,financial services,1 - 10,united kingdom,1
digicasa limited,2016.0,internet,1 - 10,,1
ibg incasso & creditmanagement,2012.0,financial services,1 - 10,netherlands,1
drive media rights limited,,media production,1 - 10,,1
machinefabriek rotterdam,,machinery,1 - 10,,1
"gazmar, s.l.",,mechanical or industrial engineering,11 - 50,,4
power consulting group,2010.0,hospitality,1 - 10,canada,3
"spalding tougias architects, inc.",1992.0,architecture & planning,1 - 10,united states,3
fundacion vision panama,,non-profit organization management,1 - 10,panama,0
